,w_knn,w_rf,w_svm,w_xgboost,f1
264,0.033462619308381125,0.6140119149561158,0.8043511467787814,0.13139501213804305,0.5523997368824013
112,0.18786897357112797,0.675836800116325,0.925770339042422,0.049352898289671154,0.5523997368824013
305,0.22768697913444913,0.32237246239886164,0.9680614054158684,0.05690930693845009,0.5523997368824013
235,0.040768838634102966,0.5414156379914908,0.8509868177844103,0.1086774155677519,0.5523997368824013
86,0.022540566966801512,0.5264112990203003,0.7311884702936138,0.019467002858422178,0.5523997368824013
389,0.03446572017863503,0.022035886841222263,0.7304979293649867,0.5295351562813962,0.5523997368824013
444,0.07040770877902014,0.35222811245364516,0.8185041253538399,0.3027970150978715,0.5523997368824013
108,0.20385453000666653,0.004956343677409603,0.49159396197084937,0.21762890278490798,0.5523997368824013
203,0.16961877702876738,0.5351047350431526,0.8309792860963323,0.1172033710856838,0.5523997368824013
8,0.2679227216824791,0.3916241467542939,0.9276859510726376,0.08469276876054488,0.5523997368824013
117,0.21394949489927484,0.33442371173614116,0.8241667494645776,0.15109557136084106,0.5523997368824013
361,0.28523185314168453,0.14886883734747225,0.7006489415514985,0.02998780647294441,0.5523997368824013
158,0.2285397605485281,0.1293607566655992,0.6427312218188256,0.18222051404542128,0.5523997368824013
186,0.39107410122037967,0.021267040248767022,0.9889924701166487,0.28324432460505755,0.5523997368824013
420,0.06660689063587355,0.10410002907604321,0.6386316510870217,0.22627280391892424,0.5523997368824013
457,0.1270402875765445,0.018879387462169883,0.47124065429337136,0.197853731826515,0.5523997368824013
371,0.4527911072473053,0.47710188620977434,0.873178875690762,0.3143416357081259,0.5398511914107288
282,0.47006008619862605,0.5131142157014446,0.9697223824478224,0.3769520359081191,0.5398511914107288
91,0.09245265369232969,0.5350398458923215,0.5766184988628081,0.4400044155363475,0.5392261237951811
13,0.19311629270787134,0.662553866094567,0.6634425838838821,0.4501644313912767,0.5392261237951811
357,0.1846938228421815,0.9326209488802111,0.9545792402137288,0.23772320422825732,0.5392261237951811
296,0.22405752854615157,0.8439377535403482,0.9193440703970318,0.4410717976133871,0.5392261237951811
196,0.2963116099848119,0.7554137289245995,0.9107090127316855,0.5356345618207179,0.5392261237951811
255,0.1857819669485129,0.6530146777730655,0.7389315526287529,0.3030574049589202,0.5392261237951811
299,0.19992509981167328,0.8771568441520496,0.9852040636840106,0.4773297828848181,0.5392261237951811
471,0.18647422274829872,0.16248602402218648,0.801956016421422,0.5083774264739036,0.5386121732863322
368,0.2433127752552987,0.12812729848130588,0.487961720045198,0.20399152277343935,0.5386121732863322
59,0.37003356305305646,0.26881449940185365,0.7306582437626837,0.11736493423136074,0.5386121732863322
373,0.036046693003374375,0.14819150408544302,0.7721272171170306,0.6029991520284664,0.5386121732863322
455,0.23824278448747704,0.09688155627234774,0.7973085806252079,0.4830457363501034,0.5386121732863322
24,0.4720011278616052,0.1970264308588966,0.8412275192437639,0.17306233729094356,0.5386121732863322
450,0.08485100337586604,0.1467367085653949,0.5476156797064463,0.32712336493180605,0.5386121732863322
147,0.5640740149441942,0.35438765621579604,0.9340293165496443,0.2952719838966512,0.5386121732863322
249,0.0038623185790847003,0.2566057620966571,0.8753336054165339,0.6354003069642974,0.5379574958699722
77,0.12236397568574597,0.6860966526299093,0.9809751190415668,0.8081514324880261,0.5379574958699722
230,0.02148879988215535,0.33464410851314086,0.6085639125346902,0.49339288916960744,0.5379574958699722
363,0.08736504821950408,0.7136545896640466,0.9129981201121956,0.45228835546390456,0.5379574958699722
99,0.09672067420253738,0.46603731269451487,0.8729166715009239,0.565480118821006,0.5379574958699722
138,0.08619423393055692,0.7385696871791015,0.9039178277343464,0.6201656673313015,0.5379574958699722
225,0.19042923983863447,0.54185801790109,0.9929444397851233,0.6870113803108381,0.5379574958699722
417,0.16117246803814278,0.5184411938911108,0.9123670571669376,0.7213338337472639,0.5379574958699722
351,0.03142771971655489,0.46792814745321165,0.8200927216026684,0.6789621429971855,0.5379574958699722
304,0.001550721348824391,0.30867664957384355,0.9585178084733763,0.914887980056459,0.5379574958699722
173,0.28633516890998867,0.7384437546747067,0.9901553419837614,0.3200960586892492,0.5370615034040004
416,0.5012451431337805,0.7006221767110887,0.9644413845175301,0.3038918305909565,0.5370615034040004
21,0.1079721989845408,0.6916507664806438,0.9904905708247828,0.31178090786801305,0.5358356330965482
392,0.34176832296997295,0.4083437002668563,0.7642227897041621,0.39225917604184246,0.5358356330965482
94,0.2885001311255849,0.3420162661059025,0.6828047246993081,0.3728739066732112,0.5358356330965482
237,0.0937300671182496,0.3031156155732688,0.6975262880522021,0.4618279941571837,0.5358356330965482
228,0.003115274453269423,0.4131931095615491,0.6579717012406635,0.24578083434785303,0.5358356330965482
160,0.3211518590902711,0.3944668515542935,0.8860106639196206,0.5515052339732092,0.5358356330965482
207,0.4843123654565319,0.14471329056478188,0.5959472158683821,0.13781568713032688,0.5353822245396286
215,0.7999353003141975,0.34392018710648986,0.9618276923709538,0.3401724638386858,0.5353822245396286
312,0.5029450861487632,0.23186241798821872,0.7199288921464452,0.3062641730527429,0.5353822245396286
246,0.5865416367861329,0.4804398714140604,0.847690203083812,0.3657255771982487,0.5353822245396286
130,0.012916232164226105,0.3980786702916316,0.3282589766249262,0.6157889841773951,0.535087387988613
32,0.0374665600585683,0.39633313284264726,0.8925566353499483,0.9640028911608846,0.535087387988613
27,0.08411081621308092,0.4287431990631103,0.473892612591998,0.6096863019109411,0.535087387988613
293,0.09194983065578433,0.5581271651750097,0.8555103139525296,0.99186908449744,0.535087387988613
187,0.14732090767395156,0.7858512946747068,0.50685916707539,0.9424724896444878,0.535087387988613
