,w_knn,w_rf,w_svm,w_nb,w_mlp,log_loss
1,0.08876785063038939,0.27927570990751216,0.5062233162511801,0.12504926591077103,0.5134572395884344,1.1486961271876621
8,0.794194097999586,0.959341951776212,0.718935609170423,0.15683873207040844,0.8997044363833315,1.1585787543277823
6,0.6504254073686659,0.52589136036096,0.814298689472735,0.40302177327582533,0.17822666569460754,1.164759499317504
4,0.28543594437532094,0.26198703956606806,0.9012954661340296,0.32255601401021494,0.25882459785817946,1.1653047314900122
7,0.6460337025617291,0.5684978553945391,0.47444977043882197,0.6994592334922993,0.380040137308273,1.1665077508110997
5,0.493578746169017,0.7316487204444823,0.7307028318151598,0.8370529138637465,0.3301161116159522,1.1733095123997734
0,0.042634716216316315,0.3239865628396652,0.8316178757534914,0.6813996156771385,0.5605472434485489,1.1809180923836042
2,0.5616663261233953,0.2766070933096394,0.9083085847861787,0.04792135149139409,0.571688492109626,1.1826093313001573
9,0.5207167167575131,0.19181952848813122,0.6498701210820206,0.9512520648236321,0.8930927098706168,1.2008555549333566
3,0.8054781715916143,0.0670197087261879,0.1832933259841093,0.7998270189472808,0.9142339005731729,1.2349990203704506
