,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,param_shrinking,param_tol,mean_test_score,std_test_score,rank_test_score
106,3.454865280663194,rbf,auto,7,balanced,True,False,0.11187081050228015,-1.140070171203146,0.04083026421269629,213
233,3.2602278598896866,rbf,auto,11,balanced,True,True,0.09531523771003168,-1.1400862671525733,0.042192752824682274,214
155,2.543159911950576,rbf,auto,5,balanced,True,False,0.10654022181725997,-1.140103706236974,0.04102141424397468,215
16,3.0677003278199915,rbf,auto,13,balanced,True,True,0.1694569549189997,-1.1401099377147998,0.041720749936827166,216
187,3.0474463068991113,rbf,auto,1,balanced,True,False,0.18309425568065463,-1.1401192522246606,0.043515884005933606,217
83,2.6694927466860925,rbf,auto,9,balanced,True,False,0.1882309548321562,-1.1401262084117731,0.041866051641884346,218
68,2.505061583846219,rbf,auto,14,balanced,True,False,0.09812275071724533,-1.1401291721680387,0.04115297720019418,219
224,3.222896096621776,rbf,auto,14,balanced,True,True,0.14469145416731075,-1.1401378788929464,0.04165689161038893,220
110,3.3554605840110074,rbf,auto,4,balanced,True,True,0.09583476581746504,-1.1401401607045187,0.04171573609668696,221
44,3.442909703912519,rbf,auto,6,balanced,True,False,0.10475812434867322,-1.140173920750962,0.041310455071522735,222
165,3.313795019706949,rbf,auto,12,balanced,True,False,0.03352338786897826,-1.1401962548898308,0.041985060217219795,223
188,2.7979594515419506,rbf,auto,10,balanced,True,True,0.14052837429869267,-1.140199866272075,0.04276967962909391,224
208,2.5304721527335943,rbf,auto,2,balanced,True,False,0.0718293341586251,-1.1402017194408942,0.042246653628386255,225
100,3.016300348301195,rbf,auto,14,balanced,True,True,0.16003723895374075,-1.1402278493268407,0.041411570258118174,226
80,3.4283185625877253,rbf,auto,1,balanced,True,False,0.19433096380873394,-1.1402426566156707,0.040112514782683066,227
242,3.316599439471577,rbf,auto,7,balanced,True,False,0.07638888588498152,-1.1402686180870347,0.04271113697130996,228
62,2.741852290900452,rbf,auto,14,balanced,True,False,0.11265869072141953,-1.1403116589547975,0.040939918192788624,229
58,2.897572021087522,rbf,auto,7,balanced,True,False,0.1685420211814656,-1.1403234190194078,0.04249996558996766,230
15,3.2553614103176525,rbf,auto,14,balanced,True,False,0.04258833257363777,-1.1403354579102325,0.04110869476481298,231
196,3.10193539554096,rbf,auto,3,balanced,True,True,0.16535812736888986,-1.1403546804005797,0.04079538647673336,232
203,2.584517007680682,rbf,auto,3,balanced,True,True,0.19825139917336304,-1.14035824935733,0.041202293573279175,233
111,2.5978341606510016,rbf,auto,5,balanced,True,True,0.07026086421788016,-1.1403901004796004,0.04151540972315742,234
246,3.124237995913992,rbf,auto,3,balanced,True,False,0.18896642472269504,-1.1404600534783906,0.041549418951630814,235
12,2.515966252220214,rbf,auto,2,balanced,True,False,0.049205093205202347,-1.140519550039943,0.040437869755212436,236
130,2.73859685979034,rbf,auto,7,balanced,True,True,0.14898175208947492,-1.140553043587483,0.04145482342992255,237
