,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
715,99,uniform,auto,179,10.790152927959618,euclidean,-0.9359429662171911,0.05976868764194997,747
1445,97,uniform,ball_tree,196,29.963459038018637,minkowski,-0.9359518701953442,0.060812335753630806,752
1467,97,distance,ball_tree,107,15.637005858379055,minkowski,-0.9362383944742774,0.0588727411852378,753
699,98,uniform,ball_tree,59,21.94933471682718,euclidean,-0.9366788057979376,0.06196749672402233,754
742,113,distance,auto,196,1.7558024187768808,manhattan,-0.9367661211105383,0.05294919898796736,755
514,98,uniform,ball_tree,17,15.540888613901409,manhattan,-0.9373261781694712,0.06240471424767949,756
616,98,uniform,ball_tree,141,15.666934953773541,minkowski,-0.9377939012164862,0.06154133264249724,757
1073,101,distance,auto,86,13.67968101366875,minkowski,-0.9381473752030141,0.05824515411142259,758
98,100,uniform,brute,19,1.3251295444089508,euclidean,-0.9381620962524261,0.059567343733749056,759
1233,100,uniform,brute,46,25.152919361234048,manhattan,-0.9381620962524261,0.059567343733749056,759
1324,97,uniform,ball_tree,141,18.0529586299151,manhattan,-0.9383037432639257,0.061092724441781425,761
515,112,distance,ball_tree,2,7.482713595559225,manhattan,-0.9392546475151502,0.05339230072802372,762
624,102,distance,auto,70,16.67332436216393,minkowski,-0.9396482969971534,0.05764738881407845,763
693,108,distance,auto,172,26.30948992155471,euclidean,-0.9396529762559324,0.05432525199662864,764
96,99,uniform,ball_tree,23,4.093716065077978,euclidean,-0.9398505535120277,0.06100604533086917,765
852,114,distance,kd_tree,159,22.18475506357162,manhattan,-0.9401253260030261,0.05544878757242409,766
69,101,uniform,brute,54,16.667297801644132,minkowski,-0.940289042092882,0.06033800096035513,767
705,101,uniform,auto,91,8.37422317918459,manhattan,-0.940289042092882,0.06033800096035513,767
996,100,uniform,kd_tree,197,18.545158950666462,manhattan,-0.940877818145623,0.058706208181641385,769
734,102,uniform,brute,149,24.42195559602703,euclidean,-0.9416271689584608,0.059727019879132856,770
1078,108,distance,kd_tree,166,2.4508813314634263,euclidean,-0.9416293896058845,0.054231042573959505,771
903,114,distance,ball_tree,127,2.6054338873912988,manhattan,-0.9420656870984198,0.05393808947793981,772
87,101,uniform,ball_tree,161,19.778190103047184,euclidean,-0.9422369398140231,0.06107444907964306,773
1031,104,distance,brute,116,9.647547315021054,minkowski,-0.9428537256694355,0.05612886815098035,774
33,101,uniform,kd_tree,131,9.545214831324028,euclidean,-0.9433186179315687,0.06133613184784109,775
215,115,distance,kd_tree,1,14.598665042440828,manhattan,-0.9434644411541283,0.05281483356931704,776
70,103,uniform,auto,108,3.56042394981304,euclidean,-0.9440423873647733,0.058547744534717075,777
1391,103,uniform,brute,99,24.036290909011342,minkowski,-0.9440423873647733,0.058547744534717075,777
965,103,uniform,auto,108,20.062430705857295,minkowski,-0.9440423873647733,0.058547744534717075,777
1114,103,uniform,brute,149,17.604153286295496,euclidean,-0.9440423873647733,0.058547744534717075,777
257,103,uniform,brute,146,2.1102290414647786,minkowski,-0.9440423873647733,0.058547744534717075,777
1457,103,distance,kd_tree,194,28.306499648999335,minkowski,-0.9441521383708645,0.055279085977055685,782
603,116,distance,ball_tree,136,18.40664556355088,manhattan,-0.9444806315049867,0.05266585982133952,783
134,118,distance,auto,39,25.941144701875036,manhattan,-0.9446598399876841,0.053943516083077424,784
130,102,uniform,ball_tree,95,28.394972567729287,euclidean,-0.9450090900840504,0.06219047261560277,785
339,117,distance,ball_tree,164,12.865455095470457,manhattan,-0.9452400953944421,0.05512405593076385,786
929,118,distance,kd_tree,152,20.857408979110346,manhattan,-0.9453968782169925,0.05468641503988569,787
1157,104,uniform,brute,131,26.79038755240999,manhattan,-0.9459352951085146,0.05826684797110734,788
265,103,uniform,ball_tree,10,16.675575749035694,manhattan,-0.9462436079995011,0.059814640421804274,789
582,103,uniform,ball_tree,45,29.620993827551217,manhattan,-0.9463455611020404,0.05871648335981084,790
91,105,distance,kd_tree,162,15.881123628802186,minkowski,-0.9465415966973785,0.05488649955438868,791
1302,105,uniform,brute,121,18.79168569902073,minkowski,-0.9472419914066258,0.05853433668974265,792
20,104,uniform,kd_tree,37,9.241653789701925,minkowski,-0.9478600469355956,0.06034982340913464,793
1465,106,uniform,auto,72,19.84091393708611,euclidean,-0.9479132411644343,0.0584783480464496,794
1059,106,uniform,auto,179,19.419383688201812,manhattan,-0.9479132411644343,0.0584783480464496,794
246,104,uniform,ball_tree,61,14.044820158112387,minkowski,-0.9481988800156197,0.05897810447371703,796
549,120,distance,brute,91,12.385087101241558,manhattan,-0.9482211123888679,0.05367104501948001,797
686,104,uniform,ball_tree,83,28.192628917433105,minkowski,-0.9485516626532776,0.06042513200917432,798
156,107,uniform,brute,151,16.96340455795947,manhattan,-0.9495906185768886,0.05752096518181305,799
