,w_knn,w_rf,w_svm,w_bayesian_ridge,w_mlp,mae
317,0.1922454182739164,0.49994313495238263,0.29725191027084474,0.17536420695302002,0.9150576371679952,1.0571428571428572
674,0.0014754557086419373,0.3619012284238168,0.20609632241943,0.39838675786345146,0.6911659489296832,1.0771428571428572
661,0.0773519781123927,0.7025303638640851,0.0015080108069417397,0.19845266181700072,0.5294826097728184,1.08
85,0.10510233497111188,0.7001797735980634,0.9650359567716014,0.2656724794660865,0.8605356296355501,1.08
549,0.6427120711708507,0.22991691610579224,0.34464716845011245,0.5705798342665058,0.9618792500092462,1.0857142857142856
892,0.7208985011496467,0.5681945458157155,0.1868372292676027,0.39665868877234134,0.9597045636952161,1.0914285714285714
802,0.3818493657343617,0.5894796722192176,0.21195467816396008,0.2823110046695476,0.5398885348067951,1.0914285714285714
775,0.6320745699640019,0.5725785796567534,0.16265403158325076,0.23902678267890987,0.2977775727025619,1.0914285714285714
500,0.39988589310974276,0.02730374301743388,0.671316299412527,0.5826422474219509,0.8046923234417421,1.0914285714285714
797,0.22494147849218027,0.09450823403664765,0.03724999202409529,0.027001866921857798,0.8789848393562227,1.0914285714285714
321,0.4803585024989767,0.8265906210476811,0.16145726054791332,0.00594544077569481,0.3996754156273128,1.0942857142857143
513,0.29793455405676206,0.6010173124259787,0.11685269358640848,0.4293058725228026,0.71753464421847,1.0942857142857143
609,0.16493590828483917,0.11150912511371791,0.07073277648154952,0.005601872974837274,0.20898999336367097,1.0942857142857143
937,0.4573170712857887,0.4663074302545245,0.1412832382329825,0.2670056886621822,0.0718450527809853,1.0942857142857143
593,0.3611481124576007,0.7644481653841483,0.05477981377616947,0.3453684219363502,0.19039068532974712,1.0942857142857143
625,0.6596698220484299,0.31650373649927277,0.3830603933299753,0.2686909737466686,0.9093306511973218,1.0942857142857143
869,0.04439659758470382,0.4565024782207462,0.8285765486974582,0.11157558960417147,0.42979111265889125,1.0942857142857143
354,0.35420934142260196,0.9888583372654187,0.168459917680024,0.2061140693663338,0.18446130869036093,1.0971428571428572
559,0.5972141294877963,0.820431201235471,0.16217814485706772,0.22696548954352536,0.8804815450012463,1.0971428571428572
409,0.3939835806686469,0.9492085493152193,0.22998647428544428,0.10913791219854607,0.21702019858488153,1.0971428571428572
369,0.9479988828696453,0.929785689654538,0.46269566201613654,0.512282253006367,0.562971714061818,1.0971428571428572
517,0.6915620506959788,0.46079431787595115,0.4751740935578759,0.40847457295417033,0.48627611333612286,1.0971428571428572
555,0.4153408081443901,0.3381878701952984,0.24242916867618647,0.07222136066077056,0.030565401045136387,1.0971428571428572
773,0.6490952310016394,0.6952047088527054,0.49065834440676614,0.13419486498809108,0.47149232126180196,1.0971428571428572
611,0.2675965021400891,0.736512606519192,0.12658410523699137,0.09756373159777576,0.024032821508963353,1.0971428571428572
927,0.9216664674038225,0.1252665053532278,0.39347117328117276,0.7323619773951761,0.6242676921593727,1.0971428571428572
166,0.6955126421513363,0.9984081089432861,0.3554138434485037,0.5889036103166946,0.5594969049177916,1.0971428571428572
264,0.028527487440754062,0.8010302501337723,0.38085580294581545,0.32192984261419155,0.47703943834806695,1.0971428571428572
776,0.6222586199797636,0.5714365280711857,0.7572037041795967,0.5566523663357142,0.9764211908205993,1.0971428571428572
336,0.29657416489462496,0.08143417513326612,0.4869788776630668,0.32339223551259744,0.5496060044229963,1.1
482,0.9207864085673624,0.9322850034099942,0.12159861856175125,0.39806724671638705,0.17226259769271113,1.1
534,0.9797252339991541,0.8818429165472326,0.7034825610809738,0.571876697879103,0.25354592131163267,1.1
965,0.8808345887496445,0.9949657628256233,0.38955550027596386,0.48538204024902687,0.7456762935659521,1.1
70,0.5736704593411172,0.9850787017138176,0.13038768391871425,0.6393890630083217,0.2913294644045452,1.1
244,0.21450439404579014,0.781803124666485,0.7723787707016954,0.24572065752385774,0.8850774111846023,1.1
302,0.6404433169802243,0.9426577768946547,0.17827062032916507,0.2564719593535636,0.8799087834889311,1.1
777,0.9837539090184706,0.5248419419928163,0.5942607828233665,0.47902881483013127,0.08559057650234458,1.1
281,0.44234356615892456,0.8172626438410738,0.344746511264744,0.2805576035038243,0.764873200557776,1.1
680,0.4540315647193309,0.7655437577885341,0.06789760279937374,0.21629250984678816,0.14428996327800458,1.1
252,0.9284780393387922,0.16443229654760771,0.4038139884040953,0.008714371516848951,0.5040880508393921,1.1
529,0.7021237027710766,0.6238638250006379,0.6851673078735437,0.4256142372081585,0.7047642652549164,1.1028571428571428
147,0.9378888241056849,0.578111055847164,0.2920284743419457,0.6371191439561684,0.6547626563366736,1.1028571428571428
58,0.16487428172777874,0.542699728296894,0.537980720276881,0.3749612360699758,0.6079565348949205,1.1028571428571428
400,0.8485113016279245,0.9350596460196227,0.036077726438619395,0.41632717956943044,0.5006346121735645,1.1028571428571428
172,0.9548816652386852,0.6999774089779601,0.38018063861629725,0.5008111986649673,0.9672365349383637,1.1028571428571428
510,0.3117076252378541,0.6125600007740896,0.3833129646740089,0.016448208608132453,0.6690787075990566,1.1028571428571428
69,0.18952982469130664,0.9619073225609772,0.07368092088802791,0.5968338658717672,0.5244640365112251,1.1028571428571428
286,0.263460456962444,0.49970076243595796,0.18553703820245482,0.36372807279134045,0.17877340112177564,1.1028571428571428
127,0.9181108589201507,0.5626807477534335,0.5294320891413004,0.2843033008449961,0.47051485021621064,1.1028571428571428
181,0.769383166375842,0.18671542163621302,0.6454481998281163,0.735676757687341,0.04670682347884403,1.1057142857142856
462,0.7307127704179607,0.1360672308216152,0.14248414143666777,0.6087743613755623,0.6357898139295035,1.1057142857142856
942,0.596790010304371,0.9794087301044987,0.15143848661830062,0.401743983972243,0.44039491898479577,1.1057142857142856
115,0.9861507715607601,0.7188699554515241,0.9205576058545053,0.47177171743832047,0.9005665844875731,1.1057142857142856
497,0.903934958894673,0.9424376307616681,0.605112328182189,0.022872600853864666,0.03556908447325513,1.1057142857142856
148,0.7709140388744941,0.6356381815630946,0.8158052486253468,0.34379381471565784,0.9409668054542045,1.1057142857142856
973,0.5283638392793059,0.4404310325984834,0.37907417275629585,0.1717503119450361,0.16190135428523422,1.1057142857142856
970,0.927302787682279,0.9766382133633668,0.4744712090359765,0.24849593702645956,0.3438329116692872,1.1057142857142856
89,0.7576168871068443,0.48277413135223146,0.19445341930750848,0.3542230379828146,0.9435316040897785,1.1057142857142856
192,0.6224829139399048,0.020624095845289014,0.38380495697361294,0.68353035891315,0.004133931894196308,1.1057142857142856
857,0.3897791546553955,0.28946692021843234,0.01747999995676397,0.9897340216981891,0.7691673723411498,1.1057142857142856
230,0.5612370565952672,0.4255318908714635,0.17147607766609096,0.1133820588699227,0.9970550781802636,1.1057142857142856
