Feature,Importance
Destination_Kotor,0.0
Destination_Gerona,0.0
"Destination_Knock, Ireland",0.0
Destination_Cyprus,0.0
Destination_Dalaman,0.0
Destination_Denmark,0.0
Destination_Derry,0.0
Destination_Dortmund,0.0
Destination_Dublin,0.0
Destination_Dubrosnik,0.0
Destination_Dusseldorf,0.0
Destination_E.Midlands,0.0
Destination_EDI,0.0
Destination_EDI via LON,0.0
Destination_EMA,0.0
Destination_East Midlands,0.0
Destination_Edinburgh,0.0
Destination_Eindhoven,0.0
Destination_Einhoven,0.0
Destination_FAO,0.0
Destination_FCO,0.0
Destination_FEZ,0.0
Destination_FKB,0.0
Destination_DUB,0.0
Destination_Crete,0.0
Destination_Knock,0.0
Destination_Cracow,0.0
Destination_CGN,0.0
Destination_CHP,0.0
Destination_CHQ,0.0
Destination_CIA,0.0
Destination_CPH,0.0
Destination_CRL,0.0
Destination_Cagliari,0.0
Destination_Carcassonne,0.0
Destination_Cardiff,0.0
Destination_Catania,0.0
Destination_Chania,0.0
Destination_Charleroi,0.0
Destination_Cluj-Napoca via Luton,0.0
Destination_Cologne,0.0
Destination_Cologne Bonn,0.0
Destination_Comiso,0.0
Destination_Copenhagen,0.0
Destination_Corfu,0.0
Destination_Cork,0.0
Destination_FMM,0.0
Destination_FNI,0.0
Destination_FUE,0.0
Destination_Faro,0.0
Destination_Gothenburg via Stansted,0.0
Destination_Gran Canaria,0.0
Destination_Grenoble,0.0
Destination_HAM,0.0
Destination_HHN,0.0
Destination_Hamburg,0.0
Destination_Haugesund,0.0
Destination_Heraklion,0.0
Destination_Ibiza,0.0
Destination_JMK,0.0
Destination_JTR,0.0
Destination_Jerez,0.0
Destination_KUN,0.0
Destination_Karlsruhe,0.0
Destination_Kaunas,0.0
Destination_Kaunas via Budapest,0.0
Destination_Kefalonia,0.0
Destination_Kerry,0.0
Destination_Kiev,0.0
Destination_Gothenburg,0.0
Destination_Glasgow via Stansted,0.0
Destination_Glasgow Prestwick,0.0
Destination_Fuerventura,0.0
Destination_Faro Portugal,0.0
Destination_Fez,0.0
Destination_Frankfurt,0.0
Destination_Frankfurt Hahn,0.0
Destination_Fuertaventura,0.0
Destination_Fuertenventura,0.0
Destination_Fuerteventura,0.0
Destination_Fuertuventura,0.0
Destination_Funchal,0.0
Destination_Glasgow,0.0
Destination_GLA via DUB,0.0
Destination_GOT,0.0
Destination_Gasglow,0.0
Destination_Gatwick,0.0
Destination_Gdansk,0.0
Destination_Gdańsk,0.0
Destination_Palma de Mallorca,0.0
Destination_Girona,0.0
Destination_Palma,0.0
Destination_Stockholm Skavsta,0.0
Destination_Paphos,0.0
Wifi & Connectivity_3.0,0.0
Wifi & Connectivity_5.0,0.0
knn_2.0,0.0
knn_4.0,0.0
knn_5.0,0.0
knn_6.0,0.0
knn_7.0,0.0
knn_10.0,0.0
rf_2.0,0.0
svm_5.0,0.0
svm_6.0,0.0
svm_7.0,0.0
svm_10.0,0.0
bayesian_ridge_0.0,0.0
bayesian_ridge_1.0,0.0
bayesian_ridge_5.0,0.0
bayesian_ridge_7.0,0.0
bayesian_ridge_8.0,0.0
bayesian_ridge_10.0,0.0
bayesian_ridge_11.0,0.0
Wifi & Connectivity_4.0,0.0
Wifi & Connectivity_2.0,0.0
Destination_Pardubice,0.0
