Date Published,Passenger Country,Trip_verified,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,ryanair_review,exclamation_marks,question_marks,comment_length,never,again,online,delayed,cheap,legroom,Sentiment,Year Published,Month Published,Day Published,Year Flown,Month Flown,Day Flown
2018-02-17,United Kingdom,Trip Verified,Boeing 737-800,Family Leisure,Economy Class,Budapest,Dublin,5.0,5.0,2.0,2.0,4.0,yes,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,1.2955295875731485,False,False,False,False,False,False,1,2018,2,17,2018.0,2.0,1.0
2023-03-18,Sweden,Trip Verified,Missing,Solo Leisure,Economy Class,Gothenburg,Malaga,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-1.0290224987739616,True,False,False,False,False,False,-1,2023,3,18,2023.0,3.0,1.0
2014-05-17,United Kingdom,Missing,Missing,,Economy Class,,,3.0,1.0,0.0,,3.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,2.0261031004250976,False,False,False,True,False,False,-1,2014,5,17,,,
2015-10-14,United States,Missing,Missing,Couple Leisure,Economy Class,Manchester,Milan,1.0,2.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.057196771067499166,False,False,True,False,False,False,-1,2015,10,14,2015.0,8.0,1.0
2019-10-14,Canada,Trip Verified,Missing,Solo Leisure,Economy Class,Porto,Madrid,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0,False,3.1756879305423493,1.7457718053803446,4.267099858322864,True,False,False,False,False,False,-1,2019,10,14,2019.0,10.0,1.0
2015-10-12,United Kingdom,Missing,Missing,Couple Leisure,Economy Class,Valletta,East Midlands,1.0,1.0,1.0,3.0,2.0,no,1.0,1.0,False,-0.43995890559532946,1.7457718053803446,-0.8169205111717828,False,False,False,False,False,True,-1,2015,10,12,2015.0,10.0,1.0
2016-01-05,United Kingdom,Missing,Missing,Couple Leisure,Economy Class,Manchester,Malaga,1.0,2.0,1.0,1.0,1.0,no,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,-0.8790513964289867,False,True,False,False,False,False,-1,2016,1,5,2015.0,12.0,1.0
2015-11-18,United Kingdom,Missing,Missing,Couple Leisure,Economy Class,Tenerife,London,1.0,3.0,1.0,3.0,1.0,no,1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.5641120815045395,False,True,False,False,False,False,-1,2015,11,18,2015.0,11.0,1.0
2015-11-16,Greece,Missing,Boeing 737-800,Solo Leisure,Economy Class,Athens,London,3.0,4.0,2.0,4.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.09576076881334984,False,False,False,False,True,False,-1,2015,11,16,2015.0,3.0,1.0
2015-12-17,United Kingdom,Missing,Missing,Couple Leisure,Economy Class,Liverpool,Limoges,4.0,5.0,3.0,4.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.7997809566180714,True,False,False,False,False,False,1,2015,12,17,2015.0,12.0,1.0
2017-02-14,Portugal,Verified Review,Boeing 737-800,Couple Leisure,Economy Class,Faro,London,3.0,5.0,4.0,3.0,4.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.010062996044792787,False,False,False,True,False,False,1,2017,2,14,2017.0,2.0,1.0
2015-06-13,United Kingdom,Missing,Missing,Solo Leisure,Economy Class,London,Copenhagen,3.0,4.0,-1.0,,3.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.72265296112637,False,False,False,False,False,False,0,2015,6,13,,,
2019-09-15,Lebanon,Trip Verified,Missing,Couple Leisure,Economy Class,Rome,Budapest,1.0,,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.30273387456044043,False,False,True,False,False,False,-1,2019,9,15,2018.0,10.0,1.0
2015-08-19,United Kingdom,Missing,Missing,Couple Leisure,Economy Class,Leeds,Valletta,3.0,5.0,-1.0,2.0,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,0.15360676543212584,False,True,False,False,False,False,0,2015,8,19,2015.0,6.0,1.0
2019-04-30,United States,Trip Verified,Missing,Family Leisure,Premium Economy,London,Dublin,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0,False,-0.43995890559532946,-0.2682527408267359,-0.4291380893940621,True,False,False,False,False,False,-1,2019,4,30,2019.0,4.0,1.0
2022-07-07,Austria,Trip Verified,Missing,Business,Economy Class,Genoa,Vienna,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0,False,-0.43995890559532946,-0.2682527408267359,-0.5169783064818331,False,False,False,False,False,False,-1,2022,7,7,2022.0,7.0,1.0
2015-12-03,Poland,Missing,Missing,Solo Leisure,Economy Class,Warsaw,Madrid,1.0,1.0,-1.0,1.0,4.0,no,-1.0,-1.0,False,1.970472318496456,-0.2682527408267359,0.48782807922949833,True,False,False,False,False,False,-1,2015,12,3,2015.0,2.0,1.0
2023-05-11,New Zealand,Not Verified,Missing,Couple Leisure,Economy Class,Athens,Warsaw,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.519120750801047,False,False,False,False,False,False,-1,2023,5,11,2023.0,5.0,1.0
2022-10-14,Canada,Trip Verified,Missing,Family Leisure,Economy Class,Dublin,Edinburgh,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.9184593873914976,False,True,False,True,False,False,-1,2022,10,14,2022.0,10.0,1.0
2015-02-06,United Kingdom,Missing,Missing,,Economy Class,,,4.0,4.0,4.0,,5.0,yes,-1.0,-1.0,True,4.380903542588242,-0.2682527408267359,-0.6969436292958029,False,True,False,False,False,False,1,2015,2,6,,,
2013-09-22,United Kingdom,Missing,Missing,,Economy Class,,,2.0,3.0,0.0,,2.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.870481619152131,False,False,False,False,False,False,-1,2013,9,22,,,
2013-12-23,Greece,Missing,Missing,,Economy Class,,,1.0,3.0,2.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.8833362850674145,False,False,False,False,False,False,0,2013,12,23,,,
2015-07-06,United States,Missing,Missing,Family Leisure,Economy Class,Brussels,Dublin,2.0,2.0,1.0,1.0,1.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,0.6056625167862643,False,False,False,False,False,False,-1,2015,7,6,2015.0,7.0,1.0
2013-11-04,United Kingdom,Missing,Missing,,Economy Class,,,0.0,0.0,0.0,,5.0,yes,-1.0,-1.0,True,1.970472318496456,-0.2682527408267359,0.0764787699404245,False,False,False,False,True,False,0,2013,11,4,,,
2018-10-18,Portugal,Trip Verified,Missing,Business,Economy Class,London,Porto,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,5.586119154634135,-0.2682527408267359,1.8482802219303416,False,True,False,False,False,False,-1,2018,10,18,2018.0,10.0,1.0
2018-10-18,Germany,Trip Verified,Missing,Family Leisure,Economy Class,Budapest,Nuremberg,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-1.0097404999010362,False,False,False,False,False,False,-1,2018,10,18,2018.0,10.0,1.0
2017-07-30,United Kingdom,Verified Review,Missing,Solo Leisure,Economy Class,Sofia,London,2.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.7312227384032257,False,False,False,False,False,False,-1,2017,7,30,2017.0,7.0,1.0
2015-10-26,United Kingdom,Missing,Boeing 737-800,Couple Leisure,Economy Class,London,Pisa,2.0,4.0,1.0,2.0,5.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.5833940803774648,False,False,False,False,False,False,-1,2015,10,26,2015.0,10.0,1.0
2013-10-07,United Kingdom,Missing,Missing,,Economy Class,,,4.0,5.0,4.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.7676442918298625,False,True,False,False,False,False,1,2013,10,7,,,
2022-07-17,Czech Republic,Not Verified,Missing,Family Leisure,Economy Class,Prague,Dublin,3.0,3.0,-1.0,1.0,1.0,no,1.0,1.0,False,-0.43995890559532946,-0.2682527408267359,0.14503698815527014,True,False,True,False,False,False,-1,2022,7,17,2022.0,4.0,1.0
2019-07-16,United Kingdom,Not Verified,Missing,Couple Leisure,Economy Class,Porto,Barcelona,2.0,3.0,-1.0,1.0,2.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.19132676996131628,False,False,False,False,False,False,-1,2019,7,16,2019.0,6.0,1.0
2019-11-27,United States,Not Verified,Boeing 737,Couple Leisure,Economy Class,Athens,Santorini,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,2.4374524097141714,False,True,False,False,False,False,-1,2019,11,27,2019.0,10.0,1.0
2018-12-26,Netherlands,Trip Verified,Missing,Couple Leisure,Economy Class,London,Turin,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.7984825055155177,False,True,False,False,False,False,-1,2018,12,26,2018.0,12.0,1.0
2018-08-08,Slovakia,Trip Verified,Boeing 737-800,Couple Leisure,Economy Class,Bratislava,London,3.0,5.0,3.0,2.0,5.0,yes,4.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,1.8825593310377644,False,True,False,False,True,False,0,2018,8,8,2018.0,8.0,1.0
2019-03-24,United Kingdom,Not Verified,Boeing 737-800,Family Leisure,Economy Class,Bologna,London,4.0,3.0,4.0,4.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,1.7457718053803446,-0.46555964282069884,False,False,False,False,False,False,1,2019,3,24,2019.0,3.0,1.0
2018-04-10,Ireland,Trip Verified,Missing,Solo Leisure,Economy Class,Dinard,London,4.0,5.0,-1.0,4.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.8190629554909967,False,False,False,False,False,False,1,2018,4,10,2018.0,4.0,1.0
2018-08-02,Italy,Trip Verified,Missing,Solo Leisure,Economy Class,London,Milan,2.0,3.0,1.0,2.0,2.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.1750312086242651,False,True,False,True,False,False,-1,2018,8,2,2018.0,8.0,1.0
2021-07-18,Austria,Trip Verified,Missing,Solo Leisure,Economy Class,Cologne,Vienna,2.0,2.0,-1.0,1.0,3.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.5662545258237534,False,False,False,False,False,False,-1,2021,7,18,2021.0,7.0,1.0
2013-08-28,United Kingdom,Missing,Missing,,Economy Class,,,1.0,2.0,1.0,,2.0,no,-1.0,-1.0,True,0.7652567064505633,-0.2682527408267359,0.00792055172557886,False,False,False,False,True,False,-1,2013,8,28,,,
2020-03-13,United Kingdom,Not Verified,Boeing 737-800,Solo Leisure,Economy Class,Manchester,Prague,5.0,4.0,-1.0,4.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.07134988808533642,False,False,False,False,False,False,1,2020,3,13,2020.0,3.0,1.0
