,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,mean_test_score,std_test_score,rank_test_score
2,45.924890196586716,sigmoid,auto,5,balanced,True,-1.1486895752816193,0.035145296839208306,1
4,72.19987822668247,sigmoid,auto,6,balanced,True,-1.1585990649929543,0.0339576947333376,2
1,15.60186504424365,rbf,scale,3,balanced,True,-1.190065844752936,0.02070182195580566,3
3,70.80725877960455,poly,scale,6,balanced,True,-1.2280998670582977,0.018741755994217783,4
0,37.454012884736244,linear,scale,8,balanced,True,-1.2370463858026022,0.010171577737381907,5
