,w_knn,w_rf,w_svm,w_nb,w_mlp,log_loss
1975,0.10286338552051133,0.6919933190749897,0.3963812665754176,0.5920255849523217,0.29827344710959536,1.02005948338468
643,0.0893521752292149,0.45543543678141163,0.7855759691827838,0.9686227881513573,0.5158760208553426,1.0208670543955276
1073,0.015830322742036995,0.8186246641290814,0.4521493255407244,0.6394055686866144,0.05922075179164432,1.0228303675219168
104,0.04252943023641431,0.8383614606564704,0.4824210971090557,0.3173710801197819,0.38178469248842595,1.022840099586923
1611,0.06496386258272113,0.9748398934031806,0.8967326613426383,0.4308881897463178,0.2709259102289361,1.0238110544257304
1318,0.018192187087062717,0.9504510631972223,0.4682973994076295,0.8104675935611647,0.051891384358936254,1.0248485503525533
175,0.04279098634878942,0.9337409297734678,0.4546199257864183,0.9037122003134735,0.07301488975864134,1.0256830650282818
250,0.1969230862921374,0.9975125851109843,0.1393604043585276,0.6043323652705233,0.6277277059677357,1.0258787925430715
85,0.05680907344213215,0.8629022442937224,0.259448536686228,0.4459202208156616,0.4847416659828916,1.0262777574055661
33,0.0003398541517108944,0.8035027995030569,0.2863521444869156,0.29107180358622253,0.05727166232942993,1.0263240359371963
414,0.010057097364241985,0.9130847526029011,0.5166846705751248,0.9276847614649893,0.0033395365477658645,1.026412197414401
705,0.037887838467901,0.8284345092939841,0.2677595515277499,0.1657622673443001,0.9736907457609285,1.026935904496961
1386,0.07942342963461613,0.985960417908511,0.6651408991574728,0.9865658597578177,0.3789108076110954,1.0272870717101679
1004,0.1130921451168806,0.8255280166654105,0.8861256477358193,0.462604742470641,0.818515905903687,1.027498835923292
1836,0.0452919959380742,0.9084320175163156,0.6539420728124413,0.577544706898486,0.030398362196164763,1.0280255008226407
11,0.06138414475918841,0.8788462157685727,0.17272988637660147,0.39585220332482207,0.11735314400880714,1.0281032823199443
1111,0.026799361475781436,0.8271551062282556,0.5296215075985816,0.8957103778298693,0.07166772870340765,1.02862450384584
1189,0.06718084846968309,0.5924402236031595,0.528384661460086,0.5548415357670734,0.0832110399286311,1.02904454861954
1716,0.15219189286211177,0.5652463280661912,0.40569267079359306,0.7947542220482455,0.4465458991016187,1.0297282179363931
1408,0.01616348139207635,0.735320314912375,0.6836355918451895,0.24500336114023258,0.000994481975885697,1.029832181553548
58,0.5684826742411359,0.7610307571373803,0.8857350733732431,0.839334607779007,0.9678890053107109,1.030238952971091
1539,0.1327694374946755,0.5167877005805525,0.9139708753309509,0.871643118330466,0.6220158458152553,1.0306236286984358
712,0.16646850821997394,0.6504924296623044,0.1949702800436537,0.9514045355718682,0.7748493728052469,1.0306348449870797
27,0.11243457791039535,0.9384005708519223,0.9714782036886186,0.8361390614369427,0.4981061994549658,1.0307978141794394
1498,0.09166495883076842,0.6393540462884508,0.4961114931522135,0.7668126337850028,0.4686392484538169,1.031070155621789
745,0.13416010417088253,0.8229468477538087,0.6575119277297247,0.6921344983549439,0.10266023980772576,1.0312072705005306
1738,0.03706636624409798,0.486714364653939,0.15184672327279247,0.7173104402040168,0.6173598385535896,1.0316122526552216
734,0.13744443136599405,0.8043036211714375,0.27828219181928515,0.4438512552772561,0.11968305226716558,1.0322891921400699
1923,0.198134634466531,0.2021512114068149,0.6360855607539607,0.8421933148442265,0.9031113782653308,1.0324213173323757
636,0.0015777288957469215,0.14578613891970715,0.8794956820553552,0.6240165023400103,0.14649827135910076,1.0324657156119945
648,0.07122313810459757,0.8269988298099967,0.769520052168303,0.5751228852001024,0.07161619098678151,1.0326305573074528
562,0.11590015911613338,0.8332953751015219,0.5303004451948855,0.9993872954638893,0.06113974108200404,1.032939344837059
1084,0.06395056011987721,0.9499081131837157,0.1491782741042479,0.19321810974753995,0.029279151394355885,1.0331303255215454
1727,0.23140579774974257,0.3877160281483709,0.8088152780249688,0.7968632375205565,0.8052263423936593,1.0333913709958955
677,0.04497553181773439,0.7157060604223766,0.7626809102532408,0.9001614308801825,0.5901624240512813,1.0335657058253291
1809,0.39455762472171474,0.9205223661597078,0.9903997645965411,0.6989422823065147,0.7590721705278444,1.0337598026208927
772,0.06275965495747593,0.8853236149640096,0.17615513564864893,0.4799772673964283,0.3089646745024156,1.0338112688123953
1133,0.06747170837323224,0.4834331920265891,0.9639798552561866,0.7081921331072266,0.4471034097951557,1.0338948104467247
1937,0.19962666217629021,0.7518054313999135,0.6990381808033945,0.5551003915656463,0.048852301462587566,1.0340428657882876
101,0.009451713935655803,0.7038249776066291,0.14042859750750736,0.4976982009521713,0.750506589028776,1.0341148773542257
814,0.4940201350719078,0.7089634735477773,0.9073586711447501,0.876834140049932,0.9000855900380648,1.0341181919721152
141,0.025087017555214253,0.651177557126617,0.37520277385566225,0.9724867770223402,0.08293847625946416,1.0342716355547639
1666,0.06933457258139752,0.24401769089302405,0.3918333304825168,0.8924052081052155,0.3641943471651923,1.0343068109924947
1056,0.13457636178592192,0.8973008587905907,0.5506647622045497,0.4307274796832956,0.1310785278888873,1.0344661801742718
849,0.13607998221458517,0.7033048462825149,0.8273921985089948,0.8537834858041231,0.6651317077500848,1.034753718498583
741,0.024778569768722503,0.022594280933096456,0.26839403523619654,0.41106195803683776,0.8938943626928507,1.0347955049489517
890,0.48211470752499974,0.7517289670350801,0.7875715895918247,0.653861074620439,0.6274550314374712,1.0353010222577141
1086,0.04361019927100529,0.4392835931216844,0.18729283355777093,0.6927512152857678,0.2108212373018934,1.0354859893105337
212,0.029910743948404428,0.9515902057949801,0.171561226131427,0.2338827610390647,0.031000705183714117,1.0358351796549015
614,0.07295415402030214,0.47449806850450227,0.32326021066758115,0.7613015552034789,0.027018802649417695,1.0361046912769816
1795,0.2274246776813943,0.8410756642472562,0.999666054872831,0.9147336902049066,0.13767584247319864,1.0361776346473843
820,0.3112125964097795,0.8930944279349246,0.2875390708727592,0.7205659412053834,0.5185238398860694,1.0363291853220666
397,0.3023000719671478,0.9499878730282083,0.4599749204227914,0.5680648817320314,0.21412994446416067,1.0364406343767383
1515,0.13938136728446504,0.822102422371677,0.5957102118151903,0.6318798069421983,0.8818397218989381,1.0364547499970704
1888,0.061993463583901454,0.6781771860774849,0.9333255489374593,0.8354187239121008,0.145623729160813,1.036700836720058
116,0.2182817823736587,0.8226086055129997,0.4458997629278737,0.09317000025275246,0.889418455416368,1.036773823691687
1302,0.11938832305851976,0.8947706017792643,0.427377443945943,0.9918950634378381,0.480981976894861,1.0368558654708904
1254,0.19772702173122836,0.9551385200911491,0.7545903063553504,0.4349514427150094,0.09009896562634934,1.0368926362648596
1823,0.2751700030407639,0.16679975675230574,0.9928470203537558,0.5339685871012533,0.9187881387659146,1.037074746682472
1230,0.14207423400707497,0.29265687562120724,0.6432206140183169,0.6645989087819424,0.5983714884889788,1.0372814106477004
436,0.010570656671260115,0.8667321660029069,0.6615849786484342,0.6585289123798377,0.4792440667232568,1.0375789523072458
703,0.35492751171820913,0.8886460114037943,0.13513437639683112,0.8005849147575569,0.3195346145933159,1.0376062914145447
1217,0.10832364591685828,0.24125310953712575,0.9402856067193365,0.399569528622302,0.9528336172206406,1.0379490628443855
1234,0.1891019827248105,0.9186745117186754,0.05272662600153499,0.9215389797858546,0.12621873816373452,1.0380738729295693
1419,0.25758211122730035,0.6564191228055444,0.8261719546960024,0.44294582863062615,0.5740133161862324,1.0382869881057066
902,0.03910819169344171,0.554700075795249,0.2712168329766341,0.7152176723584818,0.37324216996098614,1.0383115465516524
1303,0.02142126820278767,0.7550275635985383,0.23470145499846407,0.14299122132395647,0.6784484260737262,1.0383460177050978
1081,0.04255641334417293,0.24198478662313105,0.5934241346539655,0.7482846805605472,0.36538518146186016,1.0384666431659322
1060,0.29582130441314336,0.8780949881461344,0.8393771689744303,0.6651287344685727,0.5405414929979107,1.0386359587997207
