,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
23,1343,0.06464722959071678,17,12,0.7477187738974139,0.2807723624408558,0.7224521152615053,2.795703417967586,0.47004451399094294,8.83494022266259,0.24325966431453838,0.529430167211973,0.00613647319068607,1
37,1992,0.04189460317155788,4,10,0.4126176769114265,0.9366481518557073,0.34833660445319736,8.06844739267264,0.7507147516408583,9.905051420006734,0.39196326675646254,0.5193052931827681,0.01063267891437194,2
65,342,0.08068648867411435,9,3,0.8966102629740208,0.8508175178361462,0.4878098008087379,6.969714623664215,0.018342481428361045,9.972555347683944,0.8789762454014387,0.5192483716196208,0.012060988016134143,3
74,1377,0.03127220677955483,5,1,0.7546352918601166,0.7885972112245307,0.8938925830509576,7.1407408222361415,0.20464459316946326,4.939814871308626,1.5168487973275118,0.5153335822367927,0.01402056020802723,4
16,1472,0.0836302495589238,6,16,0.7111495324380178,0.5357746840747585,0.6335297107608947,3.2596890520188477,0.8584588048137198,2.202410475655483,0.902997700544083,0.5132993194471507,0.004081975579617087,5
73,653,0.09408321236134752,7,19,0.5334610919763215,0.6242379959139921,0.9064721109645469,7.940351892702959,0.13937207266338725,6.200727559285135,1.1690804070836407,0.5126525520327204,0.0162868128033048,6
80,485,0.04155045842036277,11,6,0.5870682241365672,0.603721531730139,0.7877898887144924,4.808469780890736,0.4658001223188132,9.184547249393011,1.1427730005568775,0.5099194025780782,0.011698263111133686,7
54,174,0.07561372556736191,14,2,0.350587558806597,0.13401522845064073,0.40348286621239704,1.3638147558676976,0.21306416150891072,0.14544665667881929,0.2879267631333897,0.4917091874723353,0.01195044028866603,8
62,1396,0.03782841631046227,10,7,0.890527280739895,0.24247050363472966,0.5326172664550232,3.2750735217791465,0.21154800699654464,1.1976213181925122,2.6925323094938096,0.48799688595083185,0.016867463919913908,9
59,1244,0.03310995133101555,9,15,0.3772859652420726,0.8942172628959257,0.3559914842719861,5.116670135472612,0.687884717096083,1.5697768271619372,1.287583982996439,0.4865119622633218,0.018096986935328487,10
17,437,0.0941523264489604,8,7,0.20907162073771368,0.3486659872917294,0.8095010461397154,6.757001170392807,0.837810105907328,7.3521611924077215,0.9618655109142076,0.4829358955373868,0.017176874291816663,11
66,673,0.09760671629451426,6,19,0.2799790936602842,0.9173956130855316,0.57599841780566,5.567728930139298,0.9294759891275858,5.7161268946989985,0.05310006397605417,0.48094339367341166,0.021309754621666583,12
12,1382,0.06486901205413624,13,9,0.22210781047073025,0.906828441545754,0.3562978380769749,5.1075730257756575,0.007052130531190704,4.17411003148779,2.721422493846353,0.4778044293248163,0.020337749657198242,13
18,1695,0.017595492709593617,16,20,0.5582934536070976,0.6957843993450822,0.5414479738275658,9.962636997579242,0.260929174830409,9.654193512887936,2.285600217972997,0.4735808346019157,0.018935027079828547,14
55,1083,0.09051586944937486,6,1,0.6976418714934634,0.3922440450997323,0.5899176868546331,2.979694515419505,0.910571278403273,5.236022760150112,4.374849220237291,0.47311432595092134,0.0188462808069881,15
8,783,0.03718182521982664,5,3,0.1195942459383017,0.4494506741382034,0.8500385777897993,8.872227425763265,0.6376574713552131,4.722149251619493,0.9542011649041131,0.47230728770099156,0.021451658074716273,16
38,1492,0.09317573256035648,5,12,0.37772888617629485,0.7764129607419968,0.37201808579278317,7.399187604473745,0.6799447799002458,2.382361524039794,3.4081354025301787,0.4707493630952116,0.015884290856978237,17
93,1828,0.05199177052828376,2,11,0.38929561404197655,0.4187705248920731,0.9144119459249598,6.0316210946638815,0.08289866792512647,2.4534910968132095,3.8314852824949748,0.47043397843406576,0.019203458075711163,18
5,555,0.09276588657937943,16,15,0.8445338486781514,0.44975413336976566,0.8422847745949985,5.208442600258237,0.5705439744053994,9.61172024349349,3.9516023600181445,0.46790546159863855,0.01773647215962726,19
21,1318,0.07474914051180243,8,7,0.3677158030594335,0.23724908749680007,0.7121792213475359,5.6831860333547155,0.6577128923003434,0.9367476782809248,3.2540969815926775,0.46665832928157425,0.012898605496736536,20
33,901,0.06168500980522165,5,4,0.5010398839152592,0.43385164923797304,0.17320186991001518,0.15314540290384748,0.26099362334171394,9.33436308079483,3.985147343973735,0.4660039503432166,0.013273584345455535,21
6,1280,0.0966255307264138,13,9,0.7722447692966574,0.5396921323890798,0.7473201101373809,0.7456064367977082,0.8022969807540397,9.868869366005173,5.867611656638482,0.4653081400588558,0.016885671912090953,22
45,1033,0.0963172548474542,17,1,0.5560050386425845,0.7460448792654233,0.6492103021160636,8.02119249026734,0.43643583160655597,9.779006687542708,5.833787650971596,0.46497044184711295,0.016528581939705876,23
43,1255,0.08137995672575027,7,13,0.37798759012225447,0.3742707957561203,0.9866395785011755,7.081911955831998,0.35031824670031353,4.816669879641154,3.706521470668909,0.4648885406208734,0.01653836063305557,24
40,495,0.06328372121697994,5,3,0.7915790437258485,0.9506071469375561,0.9500619670508049,6.725284560770384,0.32876454536991595,7.5237452943768,5.734478881232861,0.4648237309576044,0.0239658804449253,25
77,927,0.06124542354346479,15,8,0.7900846371240867,0.5862298320167972,0.1533514031160802,1.0222266422519959,0.5930629052588215,9.187505222607465,5.05898678884466,0.46427289083888645,0.016306810127763895,26
86,1541,0.0888460482513503,15,8,0.806850148962586,0.33927124589619095,0.5950489797004206,9.887387819554428,0.8054149673579051,6.031974021769796,5.694535177635003,0.4638174125350994,0.015271403300923464,27
53,1429,0.011455759219962901,2,3,0.876653602658345,0.6181282404578958,0.6717006844058567,5.519168387744855,0.8522815003185401,5.609379715353863,3.581727180328405,0.46186607996911466,0.011124030188517797,28
2,1999,0.0457069984217036,15,19,0.6075448519014384,0.29214464853521815,0.13949386065204183,5.924245688620425,0.5143344384136116,0.46450412719997725,3.6637184329369172,0.4618190126923727,0.013328216341217964,29
