,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
216,5.063277147042613,rbf,auto,12,0.0028056898576769317,-0.8060818725475267,0.048791478945075344,250
414,4.9803861827218485,rbf,auto,21,0.002399906634282524,-0.8060820823529129,0.04881690759864543,251
327,4.949645288551431,rbf,auto,25,0.002492838863697399,-0.8060833353550171,0.04881736713055264,252
202,4.97529267337561,rbf,auto,1,0.0024028504093317735,-0.8060834469006037,0.04882269304496582,253
205,5.01381629383315,rbf,auto,1,0.0023444657989748516,-0.8060834711883107,0.04882105045016827,254
133,4.994694354156113,rbf,auto,1,0.0023243690646980574,-0.8060834717704563,0.04882819592007415,255
278,4.9005421798828666,rbf,auto,9,0.0029791937030392217,-0.8060835717221473,0.048802831773224746,256
22,5.084374847004623,rbf,auto,8,0.002853219872026997,-0.8060836290374752,0.048772767289142434,257
186,5.083823143055732,rbf,auto,4,0.002770271422006604,-0.8060837918120244,0.04878541161695211,258
358,4.981882330438248,rbf,auto,9,0.0021816326456765836,-0.8060838720947114,0.04882317871815691,259
303,4.925497732466397,rbf,auto,24,0.002512441737312651,-0.80608462279259,0.04881149220302492,260
74,4.91862055356118,rbf,auto,12,0.002792467268035488,-0.8060851554420199,0.04881223560263549,261
323,4.9228534600111375,rbf,auto,20,0.0026879780146896147,-0.8060856352910383,0.04880908831871803,262
203,5.0970572101331015,rbf,auto,11,0.002971653576760676,-0.8060857085344122,0.04876418204495338,263
438,4.953120008517741,rbf,auto,28,0.002384384141651842,-0.806086508995976,0.04882350130710344,264
456,4.932151979209662,rbf,auto,4,0.002781908675198785,-0.8060867067557641,0.048811935221497536,265
188,4.943361821317299,rbf,auto,15,0.0022737053238388663,-0.806086736501672,0.048816583161386214,266
308,5.091814958912806,rbf,auto,8,0.0029179589738306025,-0.8060871212499773,0.04877555434892097,267
57,4.9533562028550575,rbf,auto,2,0.0025143951161443077,-0.8060873366593375,0.04881836134927378,268
237,5.078843452579186,rbf,auto,17,0.0025180863542742845,-0.8060873545047288,0.048796865885437773,269
398,5.0998706999131675,rbf,auto,26,0.0028407261527631476,-0.8060886011668904,0.04876882298557237,270
315,4.9748870739440845,rbf,auto,9,0.0021216533565119305,-0.8060891422952077,0.048828597348255176,271
367,4.903678135309494,rbf,auto,18,0.0026493083932754057,-0.8060894696686003,0.048816223682867144,272
432,5.085550456639043,rbf,auto,26,0.002626157504301341,-0.8060895825535465,0.04878828413630909,273
397,4.907885362273701,rbf,auto,10,0.0029423187848496555,-0.8060896775117044,0.04880430077806101,274
484,5.012550057268677,rbf,auto,12,0.002367049533457786,-0.8060900571711714,0.04882443983098665,275
