feature,importance
Seat Type_Premium Economy,1.2517873032303785e-20
Destination_76,1.235265591551785e-20
Origin_33,9.429656292703693e-21
Destination_25,9.330330798316877e-21
Destination_7,4.921069109189643e-21
Destination_33,3.218457551347731e-21
Origin_35,2.9661819404980334e-21
Passenger Country_Austria,1.99364190291604e-21
Origin_60,1.6234818378047758e-21
Origin_63,3.041373615563107e-22
Passenger Country_Belarus,0.0
Passenger Country_Cyprus,0.0
Passenger Country_Czech Republic,0.0
Passenger Country_Finland,0.0
Passenger Country_Hungary,0.0
Passenger Country_Lithuania,0.0
Passenger Country_New Zealand,0.0
Passenger Country_Norway,0.0
Passenger Country_Poland,0.0
Passenger Country_Singapore,0.0
Passenger Country_Slovakia,0.0
Passenger Country_South Africa,0.0
Passenger Country_Switzerland,0.0
Passenger Country_Ukraine,0.0
Aircraft_Airbus A320,0.0
Aircraft_Boeing 737 MAX,0.0
Aircraft_Boeing 747,0.0
Aircraft_Other,0.0
Seat Type_Business Class,0.0
Seat Type_First Class,0.0
Origin_1,0.0
Origin_10,0.0
Origin_17,0.0
Origin_18,0.0
Origin_19,0.0
Origin_21,0.0
Origin_28,0.0
Origin_30,0.0
Origin_4,0.0
Origin_41,0.0
Origin_42,0.0
Origin_43,0.0
Origin_45,0.0
Origin_47,0.0
Origin_49,0.0
Origin_50,0.0
Origin_55,0.0
Origin_56,0.0
Origin_57,0.0
Origin_61,0.0
Origin_62,0.0
Origin_66,0.0
Origin_67,0.0
Origin_8,0.0
Origin_9,0.0
Destination_1,0.0
Destination_12,0.0
Destination_14,0.0
Destination_17,0.0
Destination_18,0.0
Destination_19,0.0
Destination_23,0.0
Destination_26,0.0
Destination_28,0.0
Destination_30,0.0
Destination_31,0.0
Destination_32,0.0
Destination_35,0.0
Destination_36,0.0
Destination_4,0.0
Destination_40,0.0
Destination_44,0.0
Destination_45,0.0
Destination_47,0.0
Destination_48,0.0
Destination_49,0.0
Destination_50,0.0
Destination_53,0.0
Destination_54,0.0
Destination_55,0.0
Destination_56,0.0
Destination_58,0.0
Destination_59,0.0
Destination_6,0.0
Destination_61,0.0
Destination_62,0.0
Destination_64,0.0
Destination_65,0.0
Destination_66,0.0
Destination_67,0.0
Destination_68,0.0
Destination_69,0.0
Destination_70,0.0
Destination_71,0.0
Destination_72,0.0
Destination_75,0.0
Destination_8,0.0
Destination_9,0.0
Seat Comfort_0.0,0.0
Value For Money_0.0,0.0
Inflight Entertainment_3.0,0.0
Inflight Entertainment_4.0,0.0
Inflight Entertainment_5.0,0.0
Wifi & Connectivity_2.0,0.0
Wifi & Connectivity_3.0,0.0
Wifi & Connectivity_4.0,0.0
Wifi & Connectivity_5.0,0.0
Year Flown_0,0.0
Year Flown_10,0.0
Day Flown_0,0.0
Origin_52,-7.616445216133067e-22
Destination_38,-2.6587142336505826e-21
Origin_58,-5.889824277900197e-21
Passenger Country_Romania,-9.48179312603782e-21
Origin_51,-1.1692290979415941e-20
Origin_16,-1.2074639357203723e-20
Passenger Country_Denmark,-1.6088285910205607e-20
Origin_48,-1.6419422991116285e-20
Origin_15,-2.951034141162719e-20
Passenger Country_Belgium,-3.432492448954625e-20
