,param_alpha_1,param_alpha_2,param_lambda_1,param_lambda_2,param_tol,mean_test_score,std_test_score,rank_test_score
4102,3.5790098059435467,13.144264993369342,39.777208168010816,6.521084405159366,0.00031334077309564567,-0.7421932525059562,0.0553148844451725,1
2489,0.12175161951180011,10.157241752319875,39.932278215279524,6.94965368818639,0.00016419729598257305,-0.7421932716305042,0.05529972744802916,2
3782,9.301774258290902,11.274045388363833,39.99485853096535,6.441781901693774,0.0003571324650313068,-0.7421933001924332,0.05531447562626179,3
647,4.6840684185266825,4.3910794645960385,38.394513108538206,6.1630058592572405,0.000288439221586048,-0.7421935150553863,0.05531326159006543,4
4959,8.324394615152539,17.794713050078105,39.34081330890938,6.6984260870261165,0.0004419062786181095,-0.7421935406445088,0.055304310601191065,5
2235,11.0902521138193,12.004373221239387,39.07884318505043,6.421292468642604,2.5393284430373303e-05,-0.7421935895170769,0.055308010831206504,6
813,2.0568528431495343,2.5191049275871653,39.166063204024624,6.738389982700046,0.0004334436122144764,-0.7421935973528413,0.05529656882710437,7
2675,11.343291925917413,17.98678918036806,38.797023942637736,6.344532397556031,0.00039202779492621923,-0.7421936293206455,0.05531255766219875,8
1651,17.197090806702438,5.036295040182634,39.24118056460304,6.137080695437473,0.0004067687011144155,-0.7421936340441346,0.05531233616450096,9
1161,1.7679403429351674,6.844511495578091,39.2553343696512,6.296836952592029,0.00021808047320307888,-0.7421936525662243,0.05531822588574992,10
3473,19.333454334105863,14.54185558448472,39.71435200738519,6.510512169779467,0.0001187301718019475,-0.7421937057771802,0.05530499704833549,11
1110,5.200961805048678,7.701162114379234,37.71931236284542,6.103761597816921,0.0004274868928414812,-0.7421937376793817,0.0553125588683581,12
4455,11.44189313456347,5.952229494428522,39.88454636050957,6.80817189953536,0.00021421833844602827,-0.742193740285334,0.055294728358069076,13
1420,0.1833120036763297,4.0279830558777485,38.360968038918635,6.134019465221711,0.00014083568331875324,-0.7421938023581548,0.05531781245429021,14
