,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
437,475,distance,ball_tree,291,47.52056122837182,manhattan,-1.517547109698543,0.007492509139583951,101
448,423,uniform,kd_tree,311,79.62759567570944,manhattan,-1.51868754862666,0.006946169796944814,102
320,478,distance,kd_tree,193,8.469441775785402,manhattan,-1.5191895109842082,0.007550916086161207,103
217,424,uniform,ball_tree,346,13.466268120326685,manhattan,-1.5194664190477338,0.0067663294493069005,104
425,436,uniform,ball_tree,465,32.2271786048796,manhattan,-1.5269988024216798,0.005497158746607591,105
232,439,uniform,kd_tree,222,16.52402459307125,manhattan,-1.5290345159487984,0.005933143462115391,106
464,498,distance,ball_tree,156,11.10458110106467,manhattan,-1.5295637405950695,0.006858526748777681,107
331,449,uniform,kd_tree,15,21.035914354871267,manhattan,-1.5356926559732949,0.006108053204475253,108
440,404,distance,kd_tree,121,1.1236679759409443,minkowski,-1.5400642993312366,0.00817445759969053,109
73,464,uniform,kd_tree,400,89.66171489506598,manhattan,-1.5454550512495728,0.006459344009378052,110
288,467,uniform,ball_tree,437,43.77731337358623,manhattan,-1.5473845206497787,0.0067665795020631515,111
1,471,uniform,ball_tree,103,10.997491581800288,manhattan,-1.5494619748679839,0.006276567397286512,112
218,59,uniform,ball_tree,319,23.739562087711263,manhattan,-1.5505455671296704,0.16752751301972255,113
69,478,uniform,brute,490,75.07686177542044,manhattan,-1.553820872537468,0.006337059988537898,114
423,485,uniform,brute,164,43.3944812913302,manhattan,-1.5578320263810141,0.005663136994871272,115
215,55,distance,kd_tree,393,74.64442356247228,manhattan,-1.5862260865226587,0.12866605199526296,116
155,57,distance,ball_tree,34,35.741340822541424,manhattan,-1.588631451039665,0.12779300849764708,117
159,55,uniform,kd_tree,61,5.086861626647886,manhattan,-1.5922503879698602,0.12900319018927467,118
175,105,distance,brute,42,37.30822963986351,euclidean,-1.6361626030928662,0.03743386611211912,119
173,113,distance,kd_tree,67,48.95821017542502,euclidean,-1.6466811958399519,0.03734802187578869,120
455,114,distance,brute,270,90.82616272927059,euclidean,-1.6479632786064609,0.038084011903936066,121
88,98,distance,ball_tree,47,86.54605840110072,euclidean,-1.6500334568746104,0.0519741870882419,122
325,103,uniform,ball_tree,4,46.13870243296755,euclidean,-1.6511569192800937,0.037669718303772796,123
107,104,uniform,brute,19,2.083765148029836,euclidean,-1.6543461910274626,0.03746303210409308,124
471,142,distance,kd_tree,79,69.09748272382446,euclidean,-1.657435318105442,0.006992262948109094,125
301,141,distance,brute,476,5.437666353323677,euclidean,-1.6578872256388713,0.007591390321403271,126
342,106,uniform,ball_tree,217,91.78186529846401,euclidean,-1.6588294895657523,0.03724737096825636,127
282,145,distance,brute,247,39.39638899197257,euclidean,-1.6603336379319404,0.007717686186121547,128
28,147,distance,brute,231,76.55511385430486,euclidean,-1.6629200521603527,0.0068993844732589465,129
205,127,distance,kd_tree,10,76.46352918601166,euclidean,-1.6660005809075689,0.037705261447434316,130
250,113,uniform,kd_tree,442,70.12218576096544,euclidean,-1.668237113691172,0.03717049503533468,131
177,154,distance,ball_tree,289,23.533279771252822,euclidean,-1.668379991047064,0.007364684355031756,132
241,155,distance,kd_tree,263,85.81280954668836,euclidean,-1.6685100952083172,0.0075570474968730565,133
182,98,uniform,kd_tree,118,18.088758739006582,euclidean,-1.6698922422025675,0.05277348011273192,134
371,115,uniform,kd_tree,316,60.291839983178185,euclidean,-1.670705398835685,0.03938972656871391,135
57,132,distance,brute,195,57.830860333547164,euclidean,-1.6718741539190858,0.03759987035519356,136
27,100,uniform,ball_tree,52,70.55160864261275,euclidean,-1.6720590726848683,0.052492964853834194,137
326,161,distance,brute,375,30.837443098999263,euclidean,-1.6730223465853364,0.009992004077989492,138
415,163,distance,kd_tree,39,71.90462617224327,euclidean,-1.6748375863076432,0.011030414581644705,139
383,165,distance,ball_tree,59,51.723480868839246,euclidean,-1.6760700398970705,0.011252096659037715,140
126,168,distance,brute,252,56.38542844013208,euclidean,-1.6783002348698681,0.010196184446122462,141
116,169,distance,kd_tree,5,24.322807242452782,euclidean,-1.678884498007656,0.009440770223666893,142
382,123,uniform,kd_tree,285,23.470117697267998,euclidean,-1.6851887347922923,0.03747849027661742,143
172,149,uniform,kd_tree,300,35.29268642782603,euclidean,-1.6889216030973202,0.006285136084879925,144
226,181,distance,ball_tree,84,56.73053688900479,euclidean,-1.6893004443991342,0.00886562301888339,145
137,150,uniform,ball_tree,374,99.72761293149445,euclidean,-1.6900456768638548,0.006471896957557029,146
493,185,distance,kd_tree,374,93.02971812194077,euclidean,-1.692506496845623,0.009551715502276414,147
195,169,uniform,kd_tree,291,82.45747202313821,euclidean,-1.7043020949823178,0.009619148855803773,148
253,121,uniform,kd_tree,76,2.0995828658480478,minkowski,-1.704974476614359,0.03808829447152058,149
133,216,distance,ball_tree,201,61.27818820232985,euclidean,-1.7133518148493638,0.0103861783508163,150
163,218,distance,ball_tree,47,9.17590319488719,euclidean,-1.7149091776401697,0.010587210377792953,151
269,219,distance,brute,149,73.41033292731386,euclidean,-1.7150488695963215,0.010430138673032333,152
224,181,uniform,kd_tree,344,79.04957075460877,euclidean,-1.715593207524622,0.008331264932751187,153
491,221,distance,kd_tree,105,54.030213324915835,euclidean,-1.7163416527341249,0.009423051501336011,154
26,183,uniform,kd_tree,380,4.142918568673425,euclidean,-1.7169637836362632,0.008883395381852182,155
76,184,uniform,kd_tree,342,4.88347344294232,euclidean,-1.717673756107073,0.008933916703783188,156
111,185,uniform,ball_tree,39,50.442030470258146,euclidean,-1.7190964239046287,0.008992087995609478,157
402,228,distance,ball_tree,417,38.325179162934006,euclidean,-1.7213901388066728,0.009142198921883237,158
199,229,distance,ball_tree,153,40.14821102015019,euclidean,-1.7219201221129254,0.009117518160624302,159
474,192,uniform,ball_tree,483,65.60901234625081,euclidean,-1.7251768164445227,0.009067631873155865,160
485,236,distance,ball_tree,148,36.32514085020642,euclidean,-1.7265601880373733,0.007724886442562583,161
412,243,distance,kd_tree,27,54.226021333904015,euclidean,-1.73089617919977,0.008143288039690602,162
483,204,uniform,ball_tree,8,9.479201604580322,euclidean,-1.7342347624359902,0.009680817085751218,163
142,206,uniform,ball_tree,53,85.96473906774115,euclidean,-1.7346823869586345,0.010678938114113879,164
249,250,distance,ball_tree,359,65.50541677693295,euclidean,-1.7347970926622351,0.007335456098564773,165
114,257,distance,kd_tree,492,84.84807637639851,euclidean,-1.7383691293347,0.006628897025794689,166
443,88,distance,ball_tree,286,63.35856880027597,euclidean,-1.7407698802911025,0.051541404614677315,167
258,271,distance,kd_tree,29,29.869373677069987,euclidean,-1.7463934295521906,0.00678135484770428,168
444,276,distance,brute,288,51.683843182048264,euclidean,-1.747927344769335,0.007328532836659079,169
171,277,distance,kd_tree,39,22.144800699654464,euclidean,-1.748710573388874,0.006955652990122885,170
346,237,uniform,kd_tree,225,36.06269312091808,euclidean,-1.756411658373303,0.007861213399287118,171
193,300,distance,brute,35,73.15965507512772,euclidean,-1.7590568583847006,0.007003753939439243,172
416,302,distance,ball_tree,426,92.77524891713773,euclidean,-1.7595557131759747,0.007128275435818893,173
13,48,distance,brute,402,94.9498941564189,manhattan,-1.7599210508497247,0.24267192086780245,174
135,307,distance,brute,256,92.91765518355595,euclidean,-1.7613560901399268,0.0072986001972985375,175
379,309,distance,ball_tree,204,85.41704489691972,euclidean,-1.7621134241931304,0.007520875955762209,176
384,246,uniform,kd_tree,276,97.51186964360456,euclidean,-1.7621716027732073,0.007041485864395946,177
98,246,uniform,kd_tree,386,69.30067734163569,euclidean,-1.7621716027732073,0.007041485864395946,177
356,247,uniform,ball_tree,25,22.92139873580443,euclidean,-1.762903481296804,0.00688880486640941,179
449,248,uniform,kd_tree,316,21.85105143573358,euclidean,-1.7631902372633221,0.006466114773968468,180
219,313,distance,ball_tree,431,34.519724164590095,euclidean,-1.7635805098646586,0.007695473689816331,181
439,315,distance,brute,303,54.582768447308126,euclidean,-1.7644752901584753,0.007960854803416986,182
263,77,uniform,kd_tree,450,8.513778173580876,euclidean,-1.7666114566839937,0.08970059900750017,183
36,322,distance,ball_tree,180,98.17820827209607,euclidean,-1.7669935231623455,0.006553461998134383,184
90,258,uniform,brute,100,44.385164923797305,euclidean,-1.7687425959356478,0.005750375509011442,185
446,262,uniform,kd_tree,361,94.69578230310628,euclidean,-1.7710420289910551,0.00526185159534392,186
392,80,uniform,brute,232,12.310981907657302,euclidean,-1.7710746196649452,0.0888903264174643,187
154,334,distance,kd_tree,184,77.89177413153975,euclidean,-1.7715664454772366,0.006633781658351561,188
473,342,distance,ball_tree,213,7.4616679844086145,euclidean,-1.7743195176967022,0.0067267307506074315,189
481,83,uniform,kd_tree,200,89.93909161288443,euclidean,-1.7745106622912779,0.09016024324108195,190
47,271,uniform,kd_tree,360,35.10663510502585,euclidean,-1.7771166954171882,0.005854018940718655,191
0,275,uniform,brute,436,74.1993941811405,euclidean,-1.7781727375258272,0.006551335741537634,192
54,353,distance,ball_tree,99,29.39209747374657,euclidean,-1.7792055832297433,0.007576128018176876,193
312,43,distance,brute,437,17.07598960483082,manhattan,-1.7794068514362507,0.20402949461723893,194
271,369,distance,brute,410,67.99174645500392,euclidean,-1.7853670782144555,0.007082787482707565,195
60,290,uniform,brute,226,65.51033620305648,euclidean,-1.7861510549280255,0.005856697905626991,196
351,374,distance,brute,416,94.52018152994597,euclidean,-1.7874396629117537,0.007511782410220962,197
202,293,uniform,brute,111,54.34610919763215,euclidean,-1.7880192045976107,0.006425224484819181,198
192,380,distance,kd_tree,334,100.09294764573906,euclidean,-1.7896614415428638,0.007310400087091788,199
337,386,distance,kd_tree,455,69.55652872289714,euclidean,-1.7919091386857275,0.006686743160789104,200
64,306,uniform,ball_tree,280,97.66548190436696,euclidean,-1.7923850147794131,0.006817178939105502,201
330,391,distance,brute,441,32.19519904951304,euclidean,-1.7937682081252817,0.0064562263166363576,202
122,391,distance,ball_tree,423,59.336876509715964,euclidean,-1.7937682081252997,0.006456226316641835,203
385,310,uniform,kd_tree,482,98.30977480703464,euclidean,-1.7941740630240155,0.006556035788495395,204
257,311,uniform,kd_tree,363,10.033696057760787,euclidean,-1.7949280671909609,0.006611981262596445,205
140,315,uniform,brute,385,87.47223762550531,euclidean,-1.7963771794217773,0.007157912746442256,206
56,402,distance,ball_tree,68,33.539969815926774,euclidean,-1.7974096456976398,0.005938873469270095,207
188,411,distance,kd_tree,10,55.89219798889773,euclidean,-1.7998353528419568,0.005606254141419563,208
99,414,distance,kd_tree,264,69.16136689727898,euclidean,-1.8010483519257696,0.005513649450238725,209
11,424,distance,brute,206,19.223608778806234,euclidean,-1.8041162270073747,0.0056919534086454235,210
370,426,distance,brute,293,50.227785644803475,euclidean,-1.8047843462170587,0.005849635385300245,211
478,429,distance,ball_tree,120,69.81347060865421,euclidean,-1.805455703747225,0.0063010911686577934,212
335,452,distance,brute,387,30.416797334347788,euclidean,-1.811620915029233,0.004125398088086055,213
411,456,distance,kd_tree,334,26.677656772050796,euclidean,-1.8123716252800157,0.0042315118373492016,214
389,356,uniform,ball_tree,264,24.456129333482867,euclidean,-1.8135951139445492,0.006503906351399177,215
359,356,uniform,brute,150,55.24786357193675,euclidean,-1.8135951139445492,0.006503906351399177,215
429,463,distance,brute,425,100.12559937021884,euclidean,-1.8137374332257021,0.0034416034100439655,217
190,463,distance,ball_tree,273,48.31662010518922,euclidean,-1.8137374332257217,0.0034416034100486132,218
305,465,distance,ball_tree,284,86.12069140487687,euclidean,-1.8143108010945093,0.0035550180832157256,219
