,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.005233621597290039,0.0010622546077349434,0.002079486846923828,0.0010229314614084225,0.3745401188473625,True,"{'alpha': 0.3745401188473625, 'fit_prior': True}",0.4989043722311634,,0.5213583600157212,0.5325603386800987,0.5235676982065923,,,1
1,0.007317256927490234,0.0024151398155472696,0.012128639221191406,0.018208773024010135,0.1834347898661638,False,"{'alpha': 0.1834347898661638, 'fit_prior': False}",0.4777635887568698,,0.5155725648193903,0.5090327810174554,0.4880843021611545,,,1
2,0.005843496322631836,0.0015357918574597903,0.0018383026123046874,0.000490015148579638,0.5986584841970366,True,"{'alpha': 0.5986584841970366, 'fit_prior': True}",0.4976863974699473,,0.523818089061526,0.536282274442509,0.5131021189983346,,,1
3,0.005615758895874024,0.0013699089764151158,0.003067207336425781,0.0011258468679243153,0.44583275285359114,True,"{'alpha': 0.44583275285359114, 'fit_prior': True}",0.5009548010029745,,0.5307395270208956,0.5331007173718172,0.5227476930827943,,,1
4,0.005456209182739258,0.0023040243177878104,0.002019453048706055,0.0005741016689598697,0.05808361216819946,False,"{'alpha': 0.05808361216819946, 'fit_prior': False}",0.4792351536478404,,0.4994777763329412,0.5101336387201745,0.46981575366920103,,,1
5,0.0044995307922363285,0.001071158151219908,0.0020920276641845704,0.0011099434781426424,0.33370861113902184,False,"{'alpha': 0.33370861113902184, 'fit_prior': False}",0.48840023431426294,,0.5183947439273651,0.5249411308652238,0.4985751015304704,,,1
6,0.00444636344909668,0.001157995583904313,0.0019832611083984374,0.0006803039195299891,0.7080725777960455,False,"{'alpha': 0.7080725777960455, 'fit_prior': False}",0.4980254963823777,,0.5225888779350757,0.5134570965504209,0.5304214168947798,,,1
7,0.003899288177490234,0.0006003606002703947,0.0013523101806640625,0.0001229484644187132,0.056411579027100256,False,"{'alpha': 0.056411579027100256, 'fit_prior': False}",0.4792225481179935,,0.4994777763329412,0.5101336387201745,0.46981575366920103,,,1
8,0.003406381607055664,0.00031961874336583284,0.0017090320587158203,0.0008586778951505277,0.8324426408004217,False,"{'alpha': 0.8324426408004217, 'fit_prior': False}",0.4900188527791918,,0.524269662989398,0.5238618471537726,0.5289407980445717,,,1
9,0.004117202758789062,0.000986787873310077,0.0012350082397460938,0.00016670795808512888,0.0007787658410143283,False,"{'alpha': 0.0007787658410143283, 'fit_prior': False}",0.45152304822897316,,0.49747638104260794,0.47755286631616417,0.44090796530463877,,,1
