,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
209,0.08087296661719767,False,0.5020680058906749,0.018290244210253423,1010
493,0.8996674452921731,False,0.5020626066901532,0.005976984526592721,1011
128,0.9004180571633305,False,0.5020626066901532,0.005976984526592721,1011
32,0.5467102793432796,True,0.5020362378354803,0.012641059584055212,1013
563,0.5573053688900479,True,0.5020288068173322,0.011486138974549948,1014
591,0.5567215847833661,True,0.5020288068173322,0.011486138974549948,1014
781,0.5598443123088295,True,0.5020023989477871,0.01148838437586139,1016
91,0.5581020020173412,True,0.5020023989477871,0.01148838437586139,1016
837,0.5584126725831979,True,0.5020023989477871,0.01148838437586139,1016
1257,0.558042325148967,True,0.5020023989477871,0.01148838437586139,1016
435,0.5577422659504374,True,0.5020023989477871,0.01148838437586139,1016
172,0.570061170089365,True,0.5019305789644047,0.011381137184700216,1021
23,0.5632882178455393,True,0.5019305789644047,0.011381137184700216,1021
305,0.5714730252050106,True,0.5019305789644047,0.011381137184700216,1021
572,0.5648411332626164,True,0.5019305789644047,0.011381137184700216,1021
1311,0.5655499649214404,True,0.5019305789644047,0.011381137184700216,1021
1385,0.5601822583749119,True,0.5019305789644047,0.011381137184700216,1021
510,0.5698896848713165,True,0.5019305789644047,0.011381137184700216,1021
678,0.5679452305526295,True,0.5019305789644047,0.011381137184700216,1021
1483,0.5671707799193856,True,0.5019305789644047,0.011381137184700216,1021
1028,0.5673122196289035,True,0.5019305789644047,0.011381137184700216,1021
1141,0.5644410906788825,True,0.5019305789644047,0.011381137184700216,1021
1288,0.5606600944161709,True,0.5019305789644047,0.011381137184700216,1021
1492,0.07896916219082861,False,0.5018831769525016,0.019201367498874248,1033
627,0.06717539991571009,False,0.5018438139832959,0.018263124376039015,1034
246,0.06936130087516545,False,0.5017098011842117,0.016459708388298626,1035
915,0.06913278618661944,False,0.5017067153243076,0.01646229786328508,1036
692,0.06535634079894237,False,0.5014552128315319,0.01616237240654903,1037
469,0.5486031179381532,True,0.5013388199204488,0.011623712906375918,1038
140,0.5487337893665861,True,0.5013388199204488,0.011623712906375918,1038
1365,0.5488386567200587,True,0.5013388199204488,0.011623712906375918,1038
1387,0.5525136147827252,True,0.5013388199204488,0.011623712906375918,1038
318,0.5538542844013208,True,0.5013388199204488,0.011623712906375918,1038
179,0.5528199769079077,True,0.5013388199204488,0.011623712906375918,1038
474,0.5956387406078443,True,0.5009689284970142,0.008546803198470612,1044
993,0.5964854749854216,True,0.5009689284970142,0.008546803198470612,1044
467,0.5938830975578988,True,0.5009689284970142,0.008546803198470612,1044
906,0.5923503285933622,True,0.5009689284970142,0.008546803198470612,1044
489,0.907866130462516,False,0.50090381666748,0.0059095731969711915,1048
297,0.9076937063485463,False,0.50090381666748,0.0059095731969711915,1048
1457,0.9036078443467951,False,0.50090381666748,0.0059095731969711915,1048
